铣 铣 [xian3] /fraiser/
铤 铤 [ding4] /lingot/minerai/
铥 铥 [diu1] /thulium/
铦 铦 [xian1] /harpon/pointu/
铧 铧 [hua2] /soc/bêche/pelle/
铩 铩 [sha1] /lance longue/
铪 铪 [ha1] /hafnium/
铫 铫 [yao2] /bêche/
铬 铬 [ge4] /chrome/
铭 铭 [ming2] /inscription/graver/
铮 铮 [zheng1] /cliquetis de métaux/petit gong/
铯 铯 [se4] /césium/
铰 铰 [jiao3] /pivot/pointe/couper/dorer/
铱 铱 [yi1] /iridium/
铲 铲 [chan3] /pelle/bêche/pelleter/aplanir/
铳 铳 [chong4] /mortier/arme à feu/
铵 铵 [an3] /ammonium/
银 银 [yin2] /argent/monnaie/
铷 铷 [ru2] /rubidium/
铸 铸 [zhu4] /fondre (du métal)/couler (du métal)/fonderie/
铹 铹 [lao2] /lawrencium/
铺 铺 [pu4] /boutique/quartier d'une ville/lit/relais de poste/
铼 铼 [lai2] /rhénium/
铽 铽 [te4] /terbium/
链 链 [lian4] /chaine/
铿 铿 [keng1] /(onom.) tintement de métaux/
笺 笺 [jian1] /papier à lettre de fantaisie/lettre/document/
销 销 [xiao1] /verrou/bruler/fondre/vendre/
锁 锁 [suo3] /serrure/fermer à clef/chaine/
笼 笼 [long2] /cage/panier/
锂 锂 [li3] /lithium/
锃 锃 [zeng4] /poli/
笾 笾 [bian1] /panier/
锄 锄 [chu2] /biner/sarcler/extirper/éliminer/
锅 锅 [guo1] /marmite/casserole/poêle/
锆 锆 [gao4] /zirconium/
锇 锇 [e2] /osmium/
锈 锈 [xiu4] /rouille/moisissure/rouiller/
锉 锉 [cuo4] /lime/limer/
锊 锊 [lu:e4] /ancienne unité de poids (équivalent à 6 taels)/
锋 锋 [feng1] /pointe/tranchant/avant-garde/avant (sport)/
锌 锌 [xin1] /zinc/
锎 锎 [kai1] /Californium/
锏 锏 [jian3] /massue/
锐 锐 [rui4] /pointu/acéré/
锑 锑 [ti1] /antimoine/
锒 锒 [lang2] /chaine/ornement/
锔 锔 [ju2] /curium/
锕 锕 [a1] /actinium/
锗 锗 [zhe3] /germanium/
锘 锘 [nuo4] /nobélium/
错 错 [cuo4] /erreur/faute/se tromper/erroné/mauvais/
锚 锚 [mao2] /ancre/
锛 锛 [ben1] /herminette/doloire/
锝 锝 [de2] /technétium/
筑 筑 [zhu4] /construire/bâtir/
锞 锞 [ke4] /lingot (d'or ou d'argent)/
筒 筒 [tong3] /tube/tuyau/
怀 怀 [huai2] /embrasser/sein/chérir/concevoir (un enfant)/
态 态 [tai4] /conduite/tenue/manières/mine (expression)/
锡 锡 [xi1] /étain/donner/présent/(nom de famille)/
怂 怂 [song3] /alarmer/exciter/
锢 锢 [gu4] /obstruer/solide/
策 策 [ce4] /plan/stratégie/tactique/
怃 怃 [wu3] /consoler/
锣 锣 [luo2] /tamtam/tam-tam/
怄 怄 [ou4] /irriter/
锤 锤 [chui2] /marteau/massue/poids/marteler/
怅 怅 [chang4] /déçu/désappointé/vexé/
锥 锥 [zhui1] /poinçon/cône/
怆 怆 [chuang4] /très mélancolique/
锦 锦 [jin3] /brocart/splendide/élégant/
筚 筚 [bi4] /osier/clayonnage/
锧 锧 [zhi4] /Billot (du bourreau)/
筛 筛 [shai1] /tamiser/cribler/tamis/
锨 锨 [xian1] /pelle/
筝 筝 [zheng1] /cithare à 12 cordes/
锫 锫 [pei2] /berkélium/
锬 锬 [tan2] /longue lance/
锭 锭 [ding4] /lingot d'argent/pain/tablette/ancre/
键 键 [jian4] /clé/clef/touche (de piano ou clavier)/
锯 锯 [ju1] /scie/
锰 锰 [meng3] /manganèse/
锱 锱 [zi1] /poids antique/un huitième d'un taël/
锲 锲 [qie4] /sculpter/graver/ciseler/
锴 锴 [kai3] /fer de haute qualité/
锵 锵 [qiang1] /(onom.) tintement/
锶 锶 [si1] /strontium/
锷 锷 [e4] /lame d'une épée/
锸 锸 [cha1] /bêche/pelle/
锹 锹 [qiao1] /pelle/bêche/
锺 锺 [zhong1] /cloche/horloge/pendule/heure/
锻 锻 [duan4] /forger/marteler/
怜 怜 [lian2] /avoir pitié de/compatir à/chérir/aimer tendrement/
锾 锾 [huan2] /(ancienne unité de mesure de masse)/monnaie/
锿 锿 [ai1] /einsteinium/
筹 筹 [chou2] /préparer/combiner/projeter/
镀 镀 [du4] /dorer/argenter/
镁 镁 [mei3] /magnésium/
镂 镂 [lou4] /graver/
签 签 [qian1] /signer/étiquette/fiche de bambou/
镄 镄 [fei4] /fermium/
镅 镅 [mei2] /américium/
镇 镇 [zhen4] /réprimer/presser/garder/bourg/
